,logFC,logCPM,PValue,FDR
YAR002C-A,0.549512852,7.508058752,7.45E-06,3.93E-05
YFL023W,-1.187018171,4.837721425,7.47E-06,3.93E-05
YML102W,0.551789911,6.394203906,7.54E-06,3.97E-05
YOL088C,0.609176145,6.063868103,7.63E-06,4.01E-05
YNL132W,-1.110729475,6.170744304,7.77E-06,4.08E-05
YOR316C,0.452173444,7.044523741,7.87E-06,4.13E-05
YGL153W,0.636199909,5.60189237,7.88E-06,4.13E-05
YDL199C,0.958196551,4.979762328,7.88E-06,4.13E-05
YOL006C,0.697401776,6.221941986,7.89E-06,4.13E-05
YDR037W,-0.320941726,9.606508618,7.92E-06,4.14E-05
YBL010C,0.839205364,4.648789863,7.94E-06,4.15E-05
YMR281W,0.546145151,6.182095852,7.96E-06,4.15E-05
YLR078C,0.611528953,6.025552022,8.06E-06,4.20E-05
YLR043C,0.435260575,8.009203452,8.13E-06,4.23E-05
YLL002W,0.956796901,4.640820658,8.18E-06,4.25E-05
YJL031C,0.633134849,5.86829224,8.18E-06,4.25E-05
YPL135W,0.503505465,7.199036423,8.51E-06,4.42E-05
YKL007W,0.468280147,7.29401777,8.52E-06,4.42E-05
YMR072W,0.543586879,7.385287236,8.60E-06,4.46E-05
YJR035W,0.684699215,5.422396961,8.66E-06,4.49E-05
YKR016W,0.508902024,6.541227249,8.81E-06,4.56E-05
YOR142W-B,-0.881228278,8.081838321,8.81E-06,4.56E-05
YMR044W,0.648627037,6.42863478,8.88E-06,4.59E-05
YMR145C,-0.469300846,8.333398416,8.89E-06,4.59E-05
YNL192W,0.3795856,8.751620164,8.95E-06,4.62E-05
YBR111W-A,1.05722832,4.822710268,8.96E-06,4.62E-05
YJR062C,0.556301489,5.962000692,9.00E-06,4.63E-05
YOR099W,0.383836238,8.180768133,9.02E-06,4.64E-05
YOR122C,0.368608546,8.784689611,9.08E-06,4.67E-05
YPL245W,-0.649535806,5.767991593,9.22E-06,4.73E-05
YDR461C-A,0.909388862,5.089495268,9.36E-06,4.81E-05
YHR029C,0.612600402,5.691491425,9.48E-06,4.86E-05
YBR201C-A,1.061907635,4.265260467,9.51E-06,4.87E-05
YLR378C,0.391123488,8.295194918,9.58E-06,4.90E-05
YMR314W,0.386251788,8.187653835,9.66E-06,4.94E-05
YPR180W,0.556289373,5.659744879,9.68E-06,4.95E-05
YMR170C,0.682369125,5.459875151,9.69E-06,4.95E-05
YGL181W,0.560615487,7.591509713,9.73E-06,4.96E-05
YDR058C,0.995198602,4.487836626,9.75E-06,4.97E-05
YGL171W,-1.341441789,4.722515168,9.76E-06,4.97E-05
YDR354W,0.54077309,7.154682381,9.78E-06,4.98E-05
YMR197C,0.481945202,6.716634738,9.80E-06,4.98E-05
YHR065C,-0.950650494,5.459685452,9.84E-06,5.00E-05
YPL154C,0.525679991,9.988623703,9.84E-06,5.00E-05
YJL117W,-0.474212107,7.23533632,9.92E-06,5.03E-05
YNL293W,0.620250897,6.447223127,9.96E-06,5.04E-05
YDL100C,0.409622982,8.497418322,9.99E-06,5.06E-05
YGR174C,0.587360334,5.799433125,1.02E-05,5.18E-05
YJR009C,0.403160492,13.23341273,1.03E-05,5.19E-05
YCL048W-A,2.702630403,2.113968889,1.03E-05,5.20E-05
YNL206C,0.554169806,6.325175725,1.03E-05,5.20E-05
YNR031C,0.435548481,7.084108866,1.03E-05,5.21E-05
YFR046C,0.76124004,5.115215207,1.04E-05,5.22E-05
YOR084W,0.537709212,5.989848723,1.04E-05,5.23E-05
YJL194W,1.179248606,3.687378167,1.04E-05,5.23E-05
YHR198C,0.696346441,5.435555708,1.05E-05,5.25E-05
YKL175W,0.513971248,7.333027633,1.05E-05,5.28E-05
YHL023C,0.657325406,6.260395285,1.05E-05,5.28E-05
YGR180C,-0.337184856,8.892930687,1.06E-05,5.29E-05
YHR135C,0.374190366,8.076733294,1.07E-05,5.38E-05
YOL090W,0.547936815,6.205553553,1.08E-05,5.39E-05
YNL304W,0.690382339,5.294765042,1.09E-05,5.44E-05
YHR106W,0.536121764,6.232660697,1.09E-05,5.44E-05
YDR322C-A,0.648175842,5.876443044,1.12E-05,5.58E-05
YJL030W,0.634427912,5.519452325,1.12E-05,5.58E-05
YER038W-A,2.16026344,3.16770606,1.12E-05,5.58E-05
YDR253C,0.877344195,4.758844951,1.12E-05,5.58E-05
YDL059C,0.833476099,4.807401142,1.14E-05,5.65E-05
YPR030W,0.612568027,5.758131894,1.15E-05,5.72E-05
YMR039C,0.375903135,7.74506059,1.15E-05,5.72E-05
YML091C,0.593374588,6.793660773,1.16E-05,5.77E-05
YHL027W,0.411550255,7.573831977,1.17E-05,5.78E-05
YMR169C,0.784882848,5.069089461,1.17E-05,5.82E-05
YOL016C,-0.684122146,8.562592412,1.18E-05,5.83E-05
YNL212W,0.49123709,6.551916612,1.20E-05,5.92E-05
YML066C,0.989260475,4.375909412,1.20E-05,5.94E-05
YOL077C,-0.838708,6.422333701,1.21E-05,5.96E-05
YPL048W,0.375378971,8.977037652,1.21E-05,5.99E-05
YBR085W,-1.052850678,4.566424813,1.22E-05,6.00E-05
YGR020C,0.425712835,7.848506653,1.22E-05,6.02E-05
YKL084W,0.737094287,5.290304134,1.25E-05,6.15E-05
YNR001C,0.432415848,8.67375111,1.26E-05,6.17E-05
YLR407W,0.938064436,4.57149823,1.26E-05,6.17E-05
YFR042W,0.75192746,5.261066544,1.26E-05,6.17E-05
YMR307W,-0.298407192,10.3367916,1.29E-05,6.31E-05
YHR052W,-1.197230579,5.716655625,1.30E-05,6.38E-05
YDR315C,0.92030268,4.356536629,1.31E-05,6.39E-05
YIL116W,0.530494093,6.748915716,1.31E-05,6.40E-05
YLR309C,0.52581969,6.611631151,1.33E-05,6.51E-05
YJL190C,-0.377493861,10.12709068,1.35E-05,6.57E-05
YGL104C,0.667328287,5.415756264,1.35E-05,6.58E-05
YNL320W,0.617883524,5.730608809,1.36E-05,6.61E-05
YPL271W,0.527861624,6.531342986,1.37E-05,6.68E-05
YML067C,0.464488911,6.848703903,1.37E-05,6.69E-05
YJR045C,-0.312989506,9.743598039,1.39E-05,6.78E-05
YOR087W,0.512452163,6.501917199,1.40E-05,6.82E-05
YHR017W,0.670725408,6.049654072,1.40E-05,6.82E-05
YNL090W,0.627716631,5.578577809,1.42E-05,6.87E-05
YDR251W,0.440372824,8.075126032,1.47E-05,7.12E-05
YGL026C,0.483223927,8.80502227,1.49E-05,7.21E-05
YAL007C,0.471530886,6.875845511,1.51E-05,7.32E-05
YPR009W,-0.775745138,5.572576432,1.52E-05,7.34E-05
YGL020C,0.535465261,6.823858445,1.53E-05,7.39E-05
YNL302C,-0.316718359,10.26609955,1.53E-05,7.40E-05
YGR123C,-0.880879435,5.495264022,1.53E-05,7.40E-05
YER019C-A,0.367600109,7.914975896,1.54E-05,7.43E-05
YLR295C,0.550949641,6.283972035,1.56E-05,7.49E-05
YDR051C,0.615549179,6.082520388,1.56E-05,7.49E-05
YKL145W,0.400044587,9.089315911,1.56E-05,7.50E-05
YOL034W,0.902601576,4.836516994,1.56E-05,7.50E-05
YPR067W,0.675408272,5.528089495,1.57E-05,7.51E-05
YIL136W,0.738632858,7.985061407,1.57E-05,7.53E-05
YKR011C,0.605740439,6.139664242,1.58E-05,7.59E-05
YGR264C,-0.434386052,8.07007905,1.61E-05,7.71E-05
YGL193C,0.917810183,4.701902543,1.62E-05,7.73E-05
YFL042C,0.467481414,7.259088148,1.62E-05,7.75E-05
YGL021W,0.739477302,5.791808913,1.64E-05,7.82E-05
YOR157C,0.423416595,7.880603383,1.66E-05,7.93E-05
YLL008W,-0.941602057,6.356576119,1.67E-05,7.96E-05
YML007C-A,4.59368937,1.488331632,1.68E-05,7.99E-05
YGR027W-A,3.641102719,6.338784808,1.68E-05,8.01E-05
YGL147C,-0.325752453,10.54462835,1.68E-05,8.01E-05
YHR188C,0.431135232,7.471412393,1.69E-05,8.01E-05
YGR162W,-0.511206563,8.08174347,1.69E-05,8.03E-05
YJL048C,0.596567893,6.216363407,1.71E-05,8.10E-05
YIL082W-A,0.553891598,6.658408554,1.71E-05,8.13E-05
YDR004W,0.715303715,5.59358758,1.72E-05,8.13E-05
YLR276C,-0.764321568,6.80868506,1.72E-05,8.14E-05
YGL198W,0.590179803,7.655030944,1.73E-05,8.18E-05
YHR087W,-0.657964939,5.952338245,1.75E-05,8.27E-05
YDL076C,0.546017542,6.115278174,1.77E-05,8.34E-05
YHL033C,-0.325830366,9.633332116,1.78E-05,8.40E-05
YNL024C-A,0.710989969,5.541310492,1.78E-05,8.41E-05
YJL033W,-1.019528714,5.993211619,1.79E-05,8.44E-05
YDR376W,0.582155847,5.826609905,1.80E-05,8.46E-05
YIL041W,0.445767483,8.143941555,1.80E-05,8.47E-05
YIR036C,0.660058069,7.074305805,1.81E-05,8.49E-05
YMR206W,0.83516821,5.354415031,1.82E-05,8.55E-05
YDL142C,0.655124871,5.300447451,1.82E-05,8.56E-05
YCL034W,0.47809296,7.680967321,1.82E-05,8.56E-05
YMR133W,1.161551233,4.107557423,1.87E-05,8.78E-05
YLR037C,1.02138112,4.149741343,1.88E-05,8.81E-05
YMR119W,0.53663289,6.864208047,1.89E-05,8.84E-05
YDL135C,0.56166643,6.128698227,1.90E-05,8.86E-05
YMR291W,-0.56148296,7.723751809,1.90E-05,8.87E-05
YBL040C,0.592431738,6.817310135,1.92E-05,8.94E-05
YPL018W,-0.981056615,4.116456903,1.92E-05,8.96E-05
YPR036W,0.479124038,9.229721308,1.95E-05,9.08E-05
YMR055C,0.895801362,4.241062476,1.95E-05,9.08E-05
YMR295C,0.39796192,8.579118035,1.96E-05,9.12E-05
YML071C,0.56276749,6.381716888,1.99E-05,9.26E-05
YAL028W,0.562652059,5.918361314,2.00E-05,9.29E-05
YGL005C,0.696617737,5.597632284,2.00E-05,9.29E-05
YGR263C,0.719779307,5.096834131,2.01E-05,9.32E-05
YNR006W,0.422615675,7.122415129,2.06E-05,9.52E-05
YER142C,0.651704314,5.625990367,2.07E-05,9.58E-05
YAL008W,0.629661639,5.762133493,2.07E-05,9.58E-05
YDR392W,0.537422326,6.071907999,2.07E-05,9.59E-05
YGR274C,0.605387265,6.435042716,2.08E-05,9.60E-05
YEL037C,0.394296113,8.127886773,2.10E-05,9.68E-05
YKL221W,1.470985132,3.245438053,2.11E-05,9.75E-05
YOL069W,0.757701648,4.846519464,2.12E-05,9.79E-05
YML045W,-0.935445071,8.040582682,2.13E-05,9.83E-05
YDR373W,0.558710404,6.097153434,2.14E-05,9.84E-05
YGR203W,0.721115617,5.406493967,2.15E-05,9.86E-05
YGL114W,0.493528638,6.495888858,2.15E-05,9.88E-05
YGR287C,0.623954602,5.337841303,2.15E-05,9.88E-05
YLL019C,0.433130333,6.921753694,2.20E-05,0.000101041
YGL227W,0.460481484,7.041830776,2.21E-05,0.000101277
YOL049W,0.408063771,7.272221629,2.26E-05,0.000103318
YDL181W,0.884063023,4.893708866,2.27E-05,0.000103724
YJL192C,0.544829182,6.92271751,2.30E-05,0.000105167
YGR247W,0.562467084,5.904682512,2.30E-05,0.000105316
YBR267W,-1.311848967,4.893132167,2.32E-05,0.000105947
YCR036W,0.575438751,6.513398694,2.33E-05,0.000106169
YLR120C,-0.378991431,8.250314354,2.33E-05,0.000106169
YML026C,-0.386633036,9.774850089,2.33E-05,0.000106169
YJL010C,-0.923508078,5.417207545,2.35E-05,0.000106952
YFL058W,3.955251153,1.905628874,2.36E-05,0.000107192
YGR245C,-0.503070322,7.103998052,2.38E-05,0.00010814
YOR367W,0.759804152,5.252418498,2.42E-05,0.000109739
YGR163W,0.498374561,6.208906597,2.42E-05,0.000110008
YCL024W,0.718668106,5.074708758,2.43E-05,0.0001102
YER064C,-0.441459083,7.432221508,2.45E-05,0.000111092
YFL020C,1.644680726,3.116604472,2.45E-05,0.000111092
YLR209C,0.482564315,6.255890267,2.46E-05,0.000111475
YER017C,0.490108719,7.302347496,2.49E-05,0.000112762
YFR003C,0.618876637,6.245425422,2.50E-05,0.000112877
YDR398W,-0.833076824,6.592156249,2.50E-05,0.000112877
YAL001C,0.678918062,5.94791957,2.53E-05,0.000114174
YPL165C,0.590093036,5.766075159,2.55E-05,0.000114771
YIL034C,0.428087057,7.238958334,2.55E-05,0.000114969
YPL074W,0.657616175,5.963299767,2.58E-05,0.00011604
YPR114W,0.405273913,7.40274868,2.61E-05,0.000117462
YOR049C,-0.703105001,5.420614162,2.64E-05,0.000118509
YML117W,0.34982665,8.429530259,2.67E-05,0.000119798
YHR115C,0.537150421,5.966738008,2.71E-05,0.000121429
YGL237C,0.664366337,5.865304407,2.83E-05,0.000126927
YKL009W,-0.928930818,6.668396802,2.85E-05,0.000127822
YML081C-A,0.587179699,5.459015005,2.86E-05,0.000128105
YHR190W,0.364985088,8.996679505,2.88E-05,0.000128689
YDR363W-A,0.512436097,6.544305712,2.89E-05,0.000129064
YLR054C,1.396424644,3.867681102,2.90E-05,0.000129464
YBL086C,0.471979211,6.913137113,2.90E-05,0.000129541
YLR246W,0.685945143,5.286861943,2.92E-05,0.000130152
YJL177W,-0.365567587,9.540872606,2.93E-05,0.000130367
YPL078C,0.52413225,7.500817171,2.95E-05,0.000131166
YBL043W,1.210462651,3.846512515,2.95E-05,0.000131166
YOL026C,0.494400877,6.290311642,2.97E-05,0.000132153
YDL113C,0.550854924,6.231833519,2.98E-05,0.000132394
YIL091C,-1.316673321,4.674617753,3.03E-05,0.000134264
YFL055W,0.961831358,4.670516313,3.03E-05,0.000134264
YJR044C,0.497893286,6.243940299,3.05E-05,0.000135107
YBR139W,0.472362136,7.61148718,3.05E-05,0.000135107
YNL241C,0.463835767,9.140883889,3.05E-05,0.000135107
YPR008W,0.586685506,7.506043663,3.07E-05,0.000135696
YOL013C,0.468981122,6.813986885,3.08E-05,0.000135911
YDL085C-A,0.747661219,4.834551327,3.12E-05,0.000137756
YLL001W,0.48707445,6.510322839,3.12E-05,0.000137881
YPL176C,0.458376819,6.793951791,3.15E-05,0.000138799
YCL054W,-1.023370784,6.111815908,3.24E-05,0.000142876
YPR007C,1.843555193,2.866436875,3.28E-05,0.000144225
YMR076C,0.715821094,5.223342364,3.29E-05,0.000144739
YDR368W,0.428970987,6.94801605,3.31E-05,0.000145642
YOR134W,0.769467315,4.94793672,3.35E-05,0.00014704
YDR378C,0.479728454,6.438514494,3.35E-05,0.00014704
YER187W,0.977927212,4.248577112,3.35E-05,0.00014704
YGL093W,0.482175409,6.230925807,3.36E-05,0.000147221
YHR004C,0.536050523,6.578593424,3.41E-05,0.000149251
YKL206C,0.566478385,5.832124087,3.43E-05,0.000150119
YFR020W,0.578956583,5.597413571,3.44E-05,0.0001504
YKR041W,1.300800198,3.293728788,3.45E-05,0.000150467
YGR029W,0.591679773,6.013905741,3.45E-05,0.000150467
YDR006C,0.475441724,6.840636923,3.45E-05,0.000150467
YDL208W,-0.542692599,7.704690883,3.47E-05,0.000151442
YHR061C,0.751640024,5.190622219,3.67E-05,0.000160022
YOR270C,0.331364754,9.108565089,3.68E-05,0.000160374
YEL070W,1.020133811,4.575104119,3.69E-05,0.000160494
YLR066W,0.504259181,6.589184741,3.75E-05,0.000162917
YGL010W,0.863180726,5.01529807,3.76E-05,0.000163247
YMR194C-B,1.104341519,4.155470214,3.78E-05,0.000164143
YJR028W,6.390666114,2.611636367,3.78E-05,0.000164152
YGR012W,0.572080942,6.015607647,3.80E-05,0.000164825
YDR099W,0.360239496,8.434617348,3.89E-05,0.000168307
YPL164C,0.720156216,5.391509228,3.98E-05,0.000172133
YIL020C,-0.762382946,4.700839187,4.00E-05,0.000172873
YCL032W,0.519416918,6.327468555,4.01E-05,0.000173465
YHL036W,-0.826120635,5.417360231,4.02E-05,0.000173634
YLR438C-A,0.438969959,6.886749851,4.03E-05,0.000174001
YBR275C,0.561189363,5.93169433,4.04E-05,0.00017429
YER074W-A,0.63688174,5.654872488,4.04E-05,0.00017429
YLR399C,-0.396228513,7.287516534,4.08E-05,0.000175451
YDR324C,-0.988138758,5.244089501,4.08E-05,0.000175451
YDR246W,0.488826108,6.351944208,4.14E-05,0.000177895
YKL029C,-0.546036349,7.468211123,4.14E-05,0.000177895
YGL245W,0.341665623,9.627717799,4.18E-05,0.000179629
YDR434W,0.491789611,6.626796157,4.22E-05,0.000180874
YAL062W,0.563701985,6.06693537,4.27E-05,0.000183031
YIL087C,0.576130767,5.826208403,4.30E-05,0.000184367
YPR001W,1.065685548,4.51854384,4.33E-05,0.000185484
YJL042W,0.453315134,7.558406141,4.36E-05,0.000186651
YJR121W,0.367770842,9.294156027,4.37E-05,0.000187007
YOL036W,0.475212879,6.942653274,4.45E-05,0.000190136
YML109W,0.657902264,5.214969007,4.46E-05,0.000190352
YMR196W,0.590696636,7.734622826,4.48E-05,0.000191185
YBR085C-A,0.470530614,6.9410326,4.48E-05,0.000191186
YBR007C,0.701708027,5.936369635,4.53E-05,0.000192848
YHR044C,0.924751946,4.50727623,4.54E-05,0.000193151
YOR389W,0.849570556,4.339774895,4.57E-05,0.000194413
YNL140C,0.72753246,5.183232348,4.59E-05,0.000195202
YDR022C,0.764757048,4.654837982,4.62E-05,0.000196375
YMR202W,0.374688592,8.898304224,4.64E-05,0.00019679
YFR049W,0.547143525,6.024385739,4.67E-05,0.00019818
YMR086W,0.531300208,6.876245111,4.72E-05,0.000199795
YOR145C,-0.934072343,6.31221979,4.72E-05,0.000199795
YDR367W,0.656312564,5.643238871,4.73E-05,0.000200274
YMR017W,1.497975563,3.063911555,4.75E-05,0.000200697
YAL055W,0.648649731,5.662317566,4.87E-05,0.00020558
YLR304C,-0.304663364,8.840248002,4.87E-05,0.00020558
YOR344C,-1.040031605,5.881705081,4.88E-05,0.000206085
YBR033W,0.684860897,5.066129626,4.94E-05,0.000208456
YER041W,0.660630909,5.325881821,4.97E-05,0.000209555
YDR519W,0.502414784,6.017128738,4.98E-05,0.000209754
YLR164W,1.018015411,4.551650654,5.00E-05,0.000210418
YDL121C,0.604468826,6.072504875,5.03E-05,0.000211453
YJL146W,0.566993206,5.663106349,5.05E-05,0.000212249
YHR089C,-0.439010601,8.35661236,5.06E-05,0.000212336
YBL082C,0.436960306,7.00199262,5.06E-05,0.000212348
YDR200C,0.573996359,6.15887799,5.07E-05,0.000212402
YPL198W,-0.596788462,7.756523297,5.08E-05,0.000212792
YDR079C-A,1.018173952,4.039174834,5.08E-05,0.000212848
YKL105C,0.431763404,6.807285386,5.09E-05,0.000213113
YOR315W,-1.113268091,4.263520904,5.15E-05,0.000215268
YKL124W,0.607866132,5.974563775,5.18E-05,0.000216467
YFL040W,0.939322222,4.089141799,5.19E-05,0.000216651
YGL250W,0.675303256,5.209130829,5.19E-05,0.000216674
YPR047W,0.7133425,5.181837746,5.21E-05,0.000217326
YPR073C,0.605187132,5.717531776,5.27E-05,0.000219787
YIL147C,0.455052347,6.667883569,5.30E-05,0.000220531
YLR011W,0.719656302,5.166023476,5.31E-05,0.000220857
YOL111C,0.449186975,6.549302924,5.33E-05,0.000221436
YKL179C,0.508021701,6.749834758,5.34E-05,0.000221943
YDR397C,-0.588931344,5.637060852,5.37E-05,0.000223148
YML114C,0.461352488,6.272131868,5.40E-05,0.000224028
YKL129C,0.663325424,7.17243337,5.41E-05,0.000224281
YBR234C,0.350043443,8.02366483,5.48E-05,0.000226907
YEL054C,-0.52428345,9.63981455,5.48E-05,0.000226917
YGR256W,1.268345273,4.117708146,5.52E-05,0.000228385
YNL047C,0.614113637,5.429130912,5.58E-05,0.000230556
YJL219W,1.028864782,4.083055782,5.61E-05,0.000231659
YOR223W,0.553142859,6.174355357,5.62E-05,0.000231948
YCR028C-A,0.45917057,7.012359599,5.70E-05,0.000235237
YJL102W,0.708292857,5.007135394,5.71E-05,0.000235564
YDR007W,0.45682256,6.427883665,5.73E-05,0.000236047
YFR035C,0.820698666,4.647209863,5.80E-05,0.000238922
YBR056W-A,-1.123028943,4.975699961,5.83E-05,0.000239821
YIR025W,0.631189521,5.369770328,5.83E-05,0.000239906
YMR048W,0.749338208,4.86435035,5.85E-05,0.000240284
YPL086C,-0.70237143,6.060614148,5.89E-05,0.00024188
YER043C,-0.336520893,9.799306627,5.91E-05,0.000242374
YPL281C,2.196694683,2.310459863,5.92E-05,0.000242675
YBR036C,0.356403153,8.385401215,5.92E-05,0.000242675
YOR393W,2.196683899,2.310459863,5.93E-05,0.000242981
YBL091C,0.334369967,8.543428625,5.95E-05,0.000243347
YKR022C,0.559467988,5.724764461,5.98E-05,0.000244346
YHR194W,0.55370062,6.271227086,5.98E-05,0.000244505
YER046W,0.72481912,5.127014292,5.99E-05,0.000244531
YJR093C,0.466822132,6.349679025,6.03E-05,0.000245995
YHR150W,0.699096817,5.049545226,6.05E-05,0.00024652
YKR095W-A,0.77778548,4.673249984,6.13E-05,0.000249696
YHL016C,0.762759196,4.515691045,6.18E-05,0.000251699
YNL076W,0.492780566,6.581736319,6.20E-05,0.000252414
YGL095C,0.472871499,6.382857716,6.22E-05,0.000253018
YOR095C,-0.716300731,6.191373952,6.25E-05,0.000254003
YDL127W,0.9487566,4.775914258,6.28E-05,0.000254973
YOR131C,0.474255671,6.117322608,6.31E-05,0.000255822
YPL112C,0.598465736,5.856223612,6.31E-05,0.000255822
YNL039W,0.512559764,6.52821575,6.32E-05,0.000256192
YPL212C,-0.625246002,6.295618402,6.37E-05,0.000257786
YML092C,0.354436522,7.653268814,6.40E-05,0.000259119
YNL071W,0.403876561,9.202658279,6.45E-05,0.000260703
YJR105W,0.344352747,9.170044803,6.48E-05,0.000262014
YJR095W,1.870311261,2.548132376,6.52E-05,0.00026342
YPR013C,0.59232971,6.455208545,6.57E-05,0.000265108
YFL039C,0.385337475,11.10917958,6.61E-05,0.000266551
YKL063C,0.671952766,6.224451118,6.63E-05,0.000267136
YJR014W,0.422876512,7.345076829,6.63E-05,0.000267136
YCR088W,0.411217862,8.064083549,6.66E-05,0.000267939
YOL055C,0.641210014,5.315203312,6.78E-05,0.000272774
YNL242W,0.571674914,6.22475866,6.79E-05,0.000272774
YDR162C,0.471717113,5.900143018,6.80E-05,0.000273087
YDR511W,0.661284419,4.944892151,6.81E-05,0.000273535
YER156C,-0.43386174,7.405336966,6.87E-05,0.000275743
YAL056W,0.431196898,7.24750812,6.88E-05,0.000275743
YLR188W,0.444562202,6.629265488,6.89E-05,0.000276169
YAR008W,0.775983176,5.014509994,6.91E-05,0.000276562
YGL167C,0.367777639,8.011789357,7.06E-05,0.000282362
YMR276W,0.42814407,9.078593998,7.17E-05,0.000286474
YDR176W,0.473935635,6.865657514,7.18E-05,0.000286701
YLR288C,0.596991417,5.520008529,7.30E-05,0.000291327
YIL125W,0.399667806,7.617474141,7.41E-05,0.000295679
YPR171W,0.629718827,5.927744084,7.43E-05,0.000296266
YLR352W,0.530308303,5.726704301,7.44E-05,0.000296352
YGL201C,0.515288334,6.553319246,7.47E-05,0.000297313
YIL112W,0.49390322,6.900517356,7.56E-05,0.000300892
YMR253C,0.68798254,5.602846837,7.64E-05,0.000303823
YKL041W,0.562856763,6.072411602,7.76E-05,0.000308417
YFL034W,0.464076302,6.50527826,7.77E-05,0.000308417
YIL129C,0.414875557,7.066149355,7.78E-05,0.000308692
YER044C,-0.480835731,6.224530547,7.83E-05,0.000310355
YFR006W,0.430834666,7.002138261,7.89E-05,0.000312652
YKR068C,0.554901261,5.974722764,7.89E-05,0.000312652
YLR298C,0.639247785,5.530765952,7.90E-05,0.000312662
YMR316C-A,-0.950755586,4.339498974,8.06E-05,0.000318919
YFR050C,0.368634844,7.920258173,8.07E-05,0.000318919
YKR066C,0.377397309,8.255231074,8.08E-05,0.00031929
YHR196W,-1.350313364,5.225945436,8.11E-05,0.000320161
YLR162W,-0.495420214,6.247399016,8.15E-05,0.000321346
YER025W,-0.358365624,8.286420778,8.19E-05,0.000323045
YMR128W,-0.706710445,6.005763021,8.28E-05,0.000326358
YBL091C-A,0.609347642,5.889850013,8.30E-05,0.000326699
YPR175W,0.688239994,4.884304641,8.36E-05,0.000329072
YNL251C,-0.457376017,7.03347955,8.45E-05,0.000332404
YBL108C-A,2.360795887,2.093293109,8.46E-05,0.000332568
YIL159W,0.905043412,4.48831205,8.55E-05,0.000335529
YDR407C,0.481119037,6.163570582,8.59E-05,0.000337054
YHR101C,0.737427503,4.715012631,8.75E-05,0.0003429
YNL188W,0.899690611,5.52039139,8.75E-05,0.0003429
YGR193C,0.404818631,7.117984021,8.88E-05,0.000347681
YDR503C,0.761121134,5.031367018,8.95E-05,0.000350401
YIL113W,-0.623293965,5.04173378,8.96E-05,0.000350477
YFL028C,0.464938986,6.118915203,9.03E-05,0.000352798
YDR086C,0.54524954,7.33928316,9.04E-05,0.000353234
YOR123C,0.388549028,7.508328179,9.08E-05,0.000354497
YJR011C,0.779575549,4.56219882,9.16E-05,0.000357186
YCL055W,0.722233492,5.239053744,9.21E-05,0.000359012
YOL017W,0.95202651,4.255941557,9.30E-05,0.000362144
YDL091C,0.599103134,5.671973421,9.34E-05,0.000363421
YMR134W,0.61578531,5.13701333,9.38E-05,0.000364889
YJR065C,0.332234352,8.233863235,9.44E-05,0.000366891
YDR078C,1.034148897,4.361788582,9.49E-05,0.000368751
YHR114W,0.410874174,6.833332523,9.57E-05,0.000371555
YLR462W,-3.733202878,1.799474149,9.59E-05,0.000371831
YLR307W,1.691964024,2.836112603,9.59E-05,0.000371831
YML106W,-0.334479994,8.136392944,9.60E-05,0.000371831
YER039C,0.944941928,4.248666017,9.62E-05,0.000372478
YKL172W,-0.573556607,7.215234484,9.67E-05,0.000374296
YCR087C-A,-0.468798303,6.366537645,9.82E-05,0.000379815
YKL114C,0.502893179,6.081879193,9.86E-05,0.000380906
YPR049C,0.68691416,4.827849296,9.88E-05,0.000381446
YDR098C,0.507497171,6.897184277,9.88E-05,0.000381446
YGL207W,0.384168241,7.845639732,9.96E-05,0.00038413
YJR104C,-0.371217169,10.77567631,9.97E-05,0.000384256
YKL154W,0.581386951,5.982214998,0.000100542,0.000387309
YBL064C,0.443632885,7.031071252,0.000100733,0.000387791
YJL133C-A,-0.855330345,5.18718613,0.000102811,0.000395536
YGR059W,1.999002801,2.311448048,0.000103786,0.000399026
YDR117C,0.478756844,6.032513043,0.000103904,0.00039922
YKL162C,1.012303958,4.515293677,0.000104012,0.000399344
YOR111W,0.849906543,4.747462321,0.000104071,0.000399344
YBL046W,0.451993558,6.62406531,0.000105273,0.000403667
YDR320C,0.62199778,5.56304147,0.000105334,0.000403667
YOL122C,0.412876654,6.61855546,0.000105468,0.00040392
YFL029C,0.475494247,6.311818628,0.000106781,0.000408682
YGR108W,-0.889172185,5.358882238,0.000107582,0.000411484
YLR005W,0.534422704,6.249331114,0.000108221,0.000413658
YPL056C,-0.853924642,4.69017503,0.000108702,0.000415229
YNL077W,0.624231727,5.794736064,0.000109087,0.00041643
YDL029W,0.374287338,8.550655379,0.000110053,0.000419848
YKR021W,0.47196018,6.134501978,0.000110615,0.000421519
YNL284C,0.57293565,5.837018436,0.000110634,0.000421519
YDL097C,0.305340854,8.602918751,0.000111055,0.000422852
YBL039W-B,1.313232492,3.646175937,0.000111459,0.000424116
YBR009C,0.474455828,9.272587696,0.00011154,0.000424133
YOL081W,0.38406334,7.269322114,0.000111606,0.000424133
YMR229C,-0.705527514,7.196515519,0.000111803,0.000424606
YLR409C,-0.843858958,5.910418545,0.000112458,0.000426823
YKR101W,0.833685809,4.675175312,0.000112637,0.000427225
YOR018W,0.406795788,6.912987102,0.000113555,0.000430432
YMR036C,0.739367657,5.116658391,0.000114893,0.000435224
YLR241W,0.390634619,7.086238759,0.000115527,0.000437348
YOL104C,-1.782020323,2.46953684,0.000115878,0.000438396
